id,name,reportReference,reportTitle,reportYear,reportAuthor,structure,structureOther,chemistry,chemistryOther,modification,modificationOther,characterization,otherSolutes,A,B,AB,Rreal,Robs,filtrationMode,hydraulicP,NaCl conc (M),Pw,Ps,osmoticP,cpMode,CP,thickness,roughness,CA,pwPs,couponSize,pH
160,No modification-4,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,No modification,,,No,3.44,0.4924,7,98.9,98.3,Not available,15.2,0.034,,,1.48,CP calculated assuming kf = 100,1.56,,,,,,
161,Post-treatment-17,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,5.32,0.624,8.5,99.06,98.2,Not available,15.2,0.034,,,1.48,CP calculated assuming kf = 100,1.93,,,,,,
162,Post-treatment-18,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,3.41,0.5196,6.6,98.83,98.2,Not available,15.2,0.034,,,1.48,CP calculated assuming kf = 100,1.55,,,,,,
163,Post-treatment-19,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.8,0.3601,7.8,99.02,98.6,Not available,15.2,0.034,,,1.49,CP calculated assuming kf = 100,1.44,,,,,,
164,Post-treatment-20,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,0.95,0.6354,1.5,95.31,94.7,Not available,15.2,0.034,,,1.43,CP calculated assuming kf = 100,1.14,,,,,,
165,No modification-5,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,No modification,,,No,3.48,1.3756,2.5,90.38,89.2,Not available,15.2,0.034,,,1.35,CP calculated assuming kf = 100,1.14,,,,,,
166,Post-treatment-21,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,9.12,2.1284,4.3,93.53,91.4,Not available,15.2,0.034,,,1.38,CP calculated assuming kf = 100,1.36,,,,,,
167,Post-treatment-22,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,18.69,4.371,4.3,92.65,87.9,Not available,15.2,0.034,,,1.33,CP calculated assuming kf = 100,1.73,,,,,,
168,No modification-6,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,No modification,,,No,3.22,0.5034,6.4,98.81,98.2,Not available,15.2,0.034,,,1.48,CP calculated assuming kf = 100,1.52,,,,,,
169,Post-treatment-23,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,0.98,0.4088,2.4,97.01,96.6,Not available,15.2,0.034,,,1.46,CP calculated assuming kf = 100,1.14,,,,,,
170,Post-treatment-24,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,1.6,0.4252,3.8,98.05,97.6,Not available,15.2,0.034,,,1.47,CP calculated assuming kf = 100,1.24,,,,,,
171,Post-treatment-25,U.S. Patent No. 4983291,Dry high flux semipermeable membranes,1991,Chau,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,1.98,0.6262,3.2,97.68,97,Not available,15.2,0.034,,,1.46,CP calculated assuming kf = 100,1.3,,,,,,
172,TFC-Control,10.1016/j.memsci.2016.08.005,High performance thin-film composite (TFC) forward osmosis (FO) membrane fabricated on novel hydrophilic disulfonated poly(arylene ether sulfone) multiblock copolymer/polysulfone substrate,2016,Zhang,Polymeric TFC,,Polyamide,,No modification,,SEM;AFM,No,2.78,0.31,8.96774193548387,99.66,99.41,Cross-flow,20,0.02,,,0.88,CP calculated assuming kf = 100,1.74,,74,,,15.89,
173,TFC-12.5,10.1016/j.memsci.2016.08.005,High performance thin-film composite (TFC) forward osmosis (FO) membrane fabricated on novel hydrophilic disulfonated poly(arylene ether sulfone) multiblock copolymer/polysulfone substrate,2016,Zhang,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;AFM,No,1.72,0.33,5.212121212121212,99.3,99.02,Cross-flow,20,0.02,,,0.88,CP calculated assuming kf = 100,1.41,,71.7,,,15.89,
174,TFC-25.0,10.1016/j.memsci.2016.08.005,High performance thin-film composite (TFC) forward osmosis (FO) membrane fabricated on novel hydrophilic disulfonated poly(arylene ether sulfone) multiblock copolymer/polysulfone substrate,2016,Zhang,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM;AFM,No,1.57,0.32,6.9,99.23,98.95,Cross-flow,20,0.02,,,0.88,CP calculated assuming kf = 100,1.37,,69,,,15.89,
175,TFC-Water,10.1016/j.memsci.2017.04.041,"Acyl-chloride quenching following interfacial polymerization to modulate the water permeability, selectivity, and surface charge of desalination membranes",2017,Werber,Polymeric TFC,,Polyamide,,No modification,,FTIR;AFM;SEM,No,0.89,0.0533,16.7,99.76,99.7,Cross-flow,27.6,0.05,,,2.22,CP calculated assuming kf = 100,1.25,,,105,,20,
176,TFC-Et.Glycol,10.1016/j.memsci.2017.04.041,"Acyl-chloride quenching following interfacial polymerization to modulate the water permeability, selectivity, and surface charge of desalination membranes",2017,Werber,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.06,0.534,3.857677902621723,98.04,96.82,Cross-flow,27.6,0.05,,,2.15,CP calculated assuming kf = 100,1.64,,,,,20,
177,TFC-Ethanol,10.1016/j.memsci.2017.04.041,"Acyl-chloride quenching following interfacial polymerization to modulate the water permeability, selectivity, and surface charge of desalination membranes",2017,Werber,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,1.3,0.144,9.027777777777779,99.39,99.16,Cross-flow,27.6,0.05,,,2.21,CP calculated assuming kf = 100,1.38,,,109.75,,20,
178,TFC-Methanol,10.1016/j.memsci.2017.04.041,"Acyl-chloride quenching following interfacial polymerization to modulate the water permeability, selectivity, and surface charge of desalination membranes",2017,Werber,Polymeric TFC,,Polyamide,,Post-treatment: surface,,FTIR;AFM;SEM,No,2.13,0.339,6.283185840707964,99.06,98.45,Cross-flow,27.6,0.05,,,2.19,CP calculated assuming kf = 100,1.67,,,114,,20,
179,TFC-Isopropanol,10.1016/j.memsci.2017.04.041,"Acyl-chloride quenching following interfacial polymerization to modulate the water permeability, selectivity, and surface charge of desalination membranes",2017,Werber,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,1.16,0.118,9.830508474576272,99.62,99.5,Cross-flow,27.6,0.05,,,2.21,CP calculated assuming kf = 100,1.33,,,108.5,,20,
180,TFC-AmmOH,10.1016/j.memsci.2017.04.041,"Acyl-chloride quenching following interfacial polymerization to modulate the water permeability, selectivity, and surface charge of desalination membranes",2017,Werber,Polymeric TFC,,Polyamide,,Post-treatment: surface,,SEM;FTIR;AFM,No,2.5,0.169,14.792899408284022,99.61,99.29,Cross-flow,27.6,0.05,,,2.21,CP calculated assuming kf = 100,1.8,,,89.27,,20,
181,TFC-m-Toluidine,10.1016/j.memsci.2017.04.041,"Acyl-chloride quenching following interfacial polymerization to modulate the water permeability, selectivity, and surface charge of desalination membranes",2017,Werber,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,0.14,0.04,3.5000000000000004,98.43,98.37,Cross-flow,27.6,0.05,,,2.19,CP calculated assuming kf = 100,1.04,,,,,20,
182,TFC-MPD,10.1016/j.memsci.2017.04.041,"Acyl-chloride quenching following interfacial polymerization to modulate the water permeability, selectivity, and surface charge of desalination membranes",2017,Werber,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,0.85,0.036,23.61111111111111,99.75,99.69,Cross-flow,27.6,0.05,,,2.22,CP calculated assuming kf = 100,1.24,,,,,20,
183,CTA-W,10.1016/j.memsci.2013.04.004,Nanocomposite substrates for controlling internal concentration polarization in forward osmosis membranes,2013,Ma,Asymmetric,,Cellulose triacetate,,No modification,,SEM,No,0.36,0.2066,1.7424975798644724,88.78,88.6152,Cross-flow,5,0.01,,,0.39,CP calculated assuming kf = 100,1.02,,,,,,
184,CTA-NW,10.1016/j.memsci.2013.04.004,Nanocomposite substrates for controlling internal concentration polarization in forward osmosis membranes,2013,Ma,Asymmetric,,Cellulose triacetate,,No modification,,SEM,No,0.5,0.0587,8.5,97.48,97.42,Cross-flow,5,0.01,,,0.43,CP calculated assuming kf = 100,1.02,,,,,,
185,CTA-HW,10.1016/j.memsci.2013.04.004,Nanocomposite substrates for controlling internal concentration polarization in forward osmosis membranes,2013,Ma,Asymmetric,,Cellulose triacetate,,No modification,,SEM,No,1.17,0.8198,1.4,86.73,86.1056,Cross-flow,5,0.01,,,0.38,CP calculated assuming kf = 100,1.06,,,,,,
186,TFC,10.1016/j.memsci.2013.04.004,Nanocomposite substrates for controlling internal concentration polarization in forward osmosis membranes,2013,Ma,Polymeric TFC,,Polyamide,,No modification,,SEM,No,1.8909,0.4062,4.7,95.48,95.0945,Cross-flow,5,0.01,,,0.42,CP calculated assuming kf = 100,1.09,,,,,,
187,TFN0.1,10.1016/j.memsci.2013.04.004,Nanocomposite substrates for controlling internal concentration polarization in forward osmosis membranes,2013,Ma,TFN / Hybrid,,Polyamide;Zeolite,,No modification,,SEM,No,2.472,0.9606,0.2,92.13,91.278,Cross-flow,5,0.01,,,0.42,CP calculated assuming kf = 100,1.12,,,,,,
188,PSfN0.5-TFC,10.1016/j.memsci.2013.04.004,Nanocomposite substrates for controlling internal concentration polarization in forward osmosis membranes,2013,Ma,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,3.345,1.1254,0.2,93.08,92.0356,Cross-flow,5,0.01,,,0.41,CP calculated assuming kf = 100,1.16,,,,,,
189,PSfN1-TFC,10.1016/j.memsci.2013.04.004,Nanocomposite substrates for controlling internal concentration polarization in forward osmosis membranes,2013,Ma,Polymeric TFC,,Polyamide,,Synthesis: support,,SEM,No,4.327,2.4627,0.1,88.85,86.7556,Cross-flow,5,0.01,,,0.38,CP calculated assuming kf = 100,1.22,,,,,,
190,Post-treatment-1,U.S. Patent No.7913857 B2,Selective membrane having a high fouling resistance,2011,Koo,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.87,0.2636,10.887708649468893,99.32,99,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.47,,,,,,6.4
191,Post-treatment-2,U.S. Patent No.7913857 B2,Selective membrane having a high fouling resistance,2011,Koo,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.8,0.3389,8.3,99.1,98.7,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.45,,,,,,6.4
192,Post-treatment-3,U.S. Patent No.7913857 B2,Selective membrane having a high fouling resistance,2011,Koo,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.78,0.3633,7.6,99.03,98.6,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.45,,,,,,6.4
193,Post-treatment-5,U.S. Patent No.7913857 B2,Selective membrane having a high fouling resistance,2011,Koo,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.71,0.3839,7.1,98.95,98.5,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.44,,,,,,6.4
194,Post-treatment-4,U.S. Patent No.7913857 B2,Selective membrane having a high fouling resistance,2011,Koo,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.75,0.2829,9.7,99.24,98.9,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.44,,,,,,6.4
195,Post-treatment-6,U.S. Patent No.7913857 B2,Selective membrane having a high fouling resistance,2011,Koo,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.72,0.359,7.6,99.02,98.6,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.44,,,,,,6.4
196,Post-treatment-7,U.S. Patent No.7913857 B2,Selective membrane having a high fouling resistance,2011,Koo,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,3.03,0.4657,6.5,98.86,98.3,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.5,,,,,,6.4
197,Post-treatment-8,U.S. Patent No.7913857 B2,Selective membrane having a high fouling resistance,2011,Koo,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.74,0.4386,6.2,98.81,98.3,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.44,,,,,,6.4
198,Post-treatment-9,U.S. Patent No.7913857 B2,Selective membrane having a high fouling resistance,2011,Koo,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.9,0.4809,6,98.77,98.2,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.47,,,,,,6.4
199,Post-treatment-10,U.S. Patent No.7913857 B2,Selective membrane having a high fouling resistance,2011,Koo,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.74,0.4386,6.2471500227998185,98.81,98.3,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.44,,,,,,6.4
200,Post-treatment-11,U.S. Patent No.7913857 B2,Selective membrane having a high fouling resistance,2011,Koo,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,3.26,0.2256,14.4,99.48,99.2,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.54,,,,,,6.4
201,Post-treatment-12,U.S. Patent No.7913857 B2,Selective membrane having a high fouling resistance,2011,Koo,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,3.51,0.2936,12,99.37,99,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.59,,,,,,6.4
202,Post-treatment-13,U.S. Patent No.7913857 B2,Selective membrane having a high fouling resistance,2011,Koo,Polymeric TFC,,Polyamide,,Post-treatment: surface,,,No,2.48,0.29,8.6,99.14,98.8,Cross-flow,15.5,0.034,,,1.49,CP calculated assuming kf = 100,1.4,,,,,,6.4
203,PSf,10.1002/app.43719,Thin film composite forward osmosis membranes with poly(2-hydroxyethyl methacrylate) grafted nano-TiO2 as additive in substrate,2016,Kuang,Polymeric TFC,,Polysulfone,,No modification,,FTIR;SEM,No,0.99,0.33,3,94.37,94,Cross-flow,6,0.01,,,0.42,Not available,,,,77.2,,15.89,
204,PSf-TiO2-PHEMA 1%,10.1002/app.43719,Thin film composite forward osmosis membranes with poly(2-hydroxyethyl methacrylate) grafted nano-TiO2 as additive in substrate,2016,Kuang,Polymeric TFC,,Polysulfone,,Synthesis: additives,,FTIR;SEM,No,1.43,0.64,2.2,92.58,92,Cross-flow,6,0.01,,,0.42,Not available,,,,73.7,,15.89,
205,PSf-TiO2-PHEMA 2%,10.1002/app.43719,Thin film composite forward osmosis membranes with poly(2-hydroxyethyl methacrylate) grafted nano-TiO2 as additive in substrate,2016,Kuang,Polymeric TFC,,Polysulfone,,Synthesis: additives,,FTIR;SEM,No,1.89,1.05,1.8,90.97,91,Cross-flow,6,0.01,,,0.4,Not available,,,,67.8,,15.89,
206,PSf-TiO2-PHEMA 3%,10.1002/app.43719,Thin film composite forward osmosis membranes with poly(2-hydroxyethyl methacrylate) grafted nano-TiO2 as additive in substrate,2016,Kuang,Polymeric TFC,,Polysulfone,,Synthesis: additives,,FTIR;SEM,No,2.41,1.8,1.3,88.25,88,Cross-flow,6,0.01,,,0.4,Not available,,,,63,,15.89,
207,Example 13,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,0.83,0.1642,5,99.66,99.45,Not available,103.4,0.6,,,28.16,CP calculated assuming kf = 100,1.62,,,,,,
208,Example 14,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,0.93,0.1431,6.5,99.73,99.54,Not available,103.4,0.6,,,28.19,CP calculated assuming kf = 100,1.69,,,,,,
209,Example 1,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,"tolylene 2,4-diisocyanate reacting with PEI",Synthesis: monomers,,,No,0.15,0.019,7.7,99.82,99.8,Not available,103.4,0.6,,,28.26,CP calculated assuming kf = 100,1.11,,,,,,
210,Example 2,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,"tolylene 2,4-diisocyanate reacting with PEI",Synthesis: monomers,,,No,0.13,0.0159,8.5,99.84,99.82,Not available,103.4,0.6,,,28.26,CP calculated assuming kf = 100,1.1,,,,,,
211,Example 3,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,"tolylene 2,4-diisocyanate reacting with PEI",Synthesis: monomers,,,No,0.42,0.0421,10,99.85,99.8,Not available,103.4,0.6,,,28.26,CP calculated assuming kf = 100,1.32,,,,,,
212,Example 4,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,0.18,0.3592,0.5,97.36,97,Not available,103.4,0.6,,,27.51,CP calculated assuming kf = 100,1.14,,,,,,
213,Example 5,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,Diphenyl ether disulfonyl chloride with PEI,Synthesis: monomers,,,No,0.12,0.0664,1.9,99.27,99.2,Not available,103.4,0.6,,,28.1,CP calculated assuming kf = 100,1.09,,,,,,
214,Example 6,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,cyanuric chloride and PEI,Synthesis: monomers,,,No,0.26,0.1388,1.9,99.25,99.1,Not available,103.4,0.6,,,28.07,CP calculated assuming kf = 100,1.2,,,,,,
215,Example 7,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,"tolylene 2,4-diisocyanate reacting with PEI",Synthesis: monomers,,,No,1.43,6.4979,0.2,92.02,84.5,Not available,103.4,0.6,,,24.16,CP calculated assuming kf = 100,1.94,,,,,,
216,Example 8,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,"tolylene 2,4-diisocyanate reacting with PEI",Synthesis: monomers,,,No,0.65,0.4073,1.5958752762091826,99,98.51,Not available,103.4,0.6,,,27.91,CP calculated assuming kf = 100,1.5,,,,,,
217,Example 9,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,"tolylene 2,4-diisocyanate reacting with PEI",Synthesis: monomers,,,No,0.45,0.1185,3.8,99.6,99.46,Not available,103.4,0.6,,,28.17,CP calculated assuming kf = 100,1.34,,,,,,
218,Example 10,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,"tolylene 2,4-diisocyanate reacting with PEI",Synthesis: monomers,,,No,0.19,0.024,8.1,99.83,99.8,Not available,103.4,0.6,,,28.26,CP calculated assuming kf = 100,1.15,,,,,,
219,Example 11,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,"tolylene 2,4-diisocyanate reacting with PEI",Synthesis: monomers,,,No,0.1,0.0075,13.4,99.9,99.89,Not available,103.4,0.6,,,28.28,CP calculated assuming kf = 100,1.08,,,,,,
220,Example 15,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.11,155.7903,0.007138,38.64,19.1,Not available,103.4,0.6,,,5.69,CP calculated assuming kf = 100,1.32,,,,,,
221,Example 16,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,Toluene sulfonyl chloride + PEI,Synthesis: monomers,,,No,1.65,236.5412,0.006969,37.87,12.6,Not available,103.4,0.6,,,3.77,CP calculated assuming kf = 100,1.41,,,,,,
222,Example 17,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,Dimethylaminobenzaldehyde+PEI,Synthesis: monomers,,,No,2.33,79.7091,0.0292,65.24,29.6,Not available,103.4,0.6,,,8.76,CP calculated assuming kf = 100,2.03,,,,,,
223,Example 18,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,Divinylsulfone+PEI,Synthesis: monomers,,,No,0.13,5.0516,0.02667,68.63,66.2,Not available,103.4,0.6,,,19.14,CP calculated assuming kf = 100,1.12,,,,,,
224,Example 19,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,Phosgene+PEI,Synthesis: monomers,,,No,1.43,93.0735,0.015412,54.55,28.2,Not available,103.4,0.6,,,8.36,CP calculated assuming kf = 100,1.58,,,,,,
225,Example 20,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Other,Diethylene glycol bischloroformate Aliphatic Acid Chlorides+PEI,Synthesis: monomers,,,No,0.22,1.0343,0.2159,93.98,93,Not available,103.4,0.6,,,26.44,CP calculated assuming kf = 100,1.18,,,,,,
226,Example 21,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,3.46,119.3153,0.029009,63.67,17.8,Not available,103.4,0.6,,,5.31,CP calculated assuming kf = 100,2.26,,,,,,
227,Example 22,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.05,51.7367,0.020214,60.75,41,Not available,103.4,0.6,,,12.05,CP calculated assuming kf = 100,1.5,,,,,,
228,Example 23,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,0.54,6.4871,0.08361,85.39,80,Not available,103.4,0.6,,,22.93,CP calculated assuming kf = 100,1.37,,,,,,
229,Example 24,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,0.05,0.028,1.880695,99.29,99.26,Not available,103.4,0.6,,,28.11,CP calculated assuming kf = 100,1.04,,,,,,
230,control,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.96,10.4561,0.283031,91.26,77.8,Not available,103.4,0.6,,,22.33,CP calculated assuming kf = 100,2.54,,,,,,
231,Example 25,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,4.35,14.057,0.309678,90.08,71.7,Not available,103.4,0.6,,,20.66,CP calculated assuming kf = 100,2.85,,,,,,
232,Example 26,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,20.85,83.7298,0.249053,77.94,15.5,Not available,103.4,0.6,,,4.63,CP calculated assuming kf = 100,3.83,,,,,,
233,Example 27,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.04,11.6109,0.089673,84.83,74.5,Not available,103.4,0.6,,,21.43,CP calculated assuming kf = 100,1.68,,,,,,
234,Example 28,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,2.5,10.1926,0.245655,90.94,78.3,Not available,103.4,0.6,,,22.47,CP calculated assuming kf = 100,2.4,,,,,,
235,Example 29,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,9.44,41.8615,0.22559,82.36,39.8,Not available,103.4,0.6,,,11.71,CP calculated assuming kf = 100,3.41,,,,,,
236,Example 30,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,1.3,4.7269,0.275934,93.62,88,Not available,103.4,0.6,,,25.1,CP calculated assuming kf = 100,1.88,,,,,,
237,Example 31,U.S. Patent No. 4039440,Reverse Osmosis Membrane,1977,Cadotte,Polymeric TFC,,Polyamide,,Synthesis: monomers,,,No,0.25,1.013,0.243588,94.58,93.6,Not available,103.4,0.6,,,26.6,CP calculated assuming kf = 100,1.19,,,,,,
238,mLBL-3,10.1039/C6TA09962A,Nanofiber multilayer membranes with tailored nanochannels prepared by molecular layer-by-layer assembly for high throughput separation,2017,Rajesh,Polymeric TFC,,Polyamide,,Synthesis: additives,,FTIR,No,4.44,10.05,0.4417910447761194,77.45,70.86,Dead-end,10,0.03422,,,1.58,CP calculated assuming kf = 100,1.29,,,,,,
239,mLBL-4,10.1039/C6TA09962A,Nanofiber multilayer membranes with tailored nanochannels prepared by molecular layer-by-layer assembly for high throughput separation,2017,Rajesh,Polymeric TFC,,Polyamide,,Synthesis: additives,,FTIR,No,3.74,5.84,0.6404109589041096,83.08,78.66,Dead-end,10,0.03422,,,1.75,CP calculated assuming kf = 100,-0.71,,,,,,
240,mLBL-5,10.1039/C6TA09962A,Nanofiber multilayer membranes with tailored nanochannels prepared by molecular layer-by-layer assembly for high throughput separation,2017,Rajesh,Polymeric TFC,,Polyamide,,Synthesis: additives,,FTIR,No,3.13,3.29,0.9513677811550152,87.83,85.05,Dead-end,10,0.03422,,,1.89,CP calculated assuming kf = 100,1.27,,,,,,
241,mLBL-6,10.1039/C6TA09962A,Nanofiber multilayer membranes with tailored nanochannels prepared by molecular layer-by-layer assembly for high throughput separation,2017,Rajesh,Polymeric TFC,,Polyamide,,Synthesis: additives,,FTIR;AFM,No,2.58,1.83,1.4098360655737705,91.44,89.78,Dead-end,10,0.03422,,,2,CP calculated assuming kf = 100,1.22,,,54.2,,,
242,SW30XHR-440,https://www.dupont.com/content/dam/dupont/amer/us/en/water-solutions/public/documents/en/45-D00970-en.pdf,FilmTec™ SW30XHR-440 Element Seawater Reverse Osmosis Element,2020,DuPont FilmTec™,Polymeric TFC,,Polyamide,,No modification,,,No,1.15,0.0355,32.394366197183096,99.86,99.82,Cross-flow,55.1581,0.5476,,,25.64,CP calculated assuming kf = 100,1.29,,,,,,8
243,SW30HRLE-400,https://www.dupont.com/content/dam/dupont/amer/us/en/water-solutions/public/documents/en/45-D00967-en.pdf,FilmTec™ SW30HRLE-400 Element Seawater Reverse Osmosis Element,2020,DuPont FilmTec™,Polymeric TFC,,Polyamide,,No modification,,,No,1.35,0.0429,31.46853146853147,99.85,99.8,Cross-flow,55.1581,0.5476,,,25.64,CP calculated assuming kf = 100,1.33,,,,,,8
244,Example 1,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives;Synthesis: solvent,,,No,2.55,0.08,31.874999999999996,99.78,99.69,Not available,15.51,0.0342,,,1.51,CP calculated assuming kf = 100,1.41,,,,,,7
245,Example 2,U.S. Patent No. 4872984,Interfacially Synthesized Reverse Osmosis Membrane Containing an Amine Salt and Processes for Preparing the Same,1989,Tomaschke,Polymeric TFC,,Polyamide,,Synthesis: additives,,,No,2.51,0.04,62.74999999999999,99.89,99.84,Not available,15.51,0.0342,,,1.52,CP calculated assuming kf = 100,1.4,,,,,,7
